edo_num,edo,tm,anio,s,ts,ssm
1,Aguascalientes,1,2004,0.1667,16.67,0
1,Aguascalientes,2,2004,0.1176,11.76,0
1,Aguascalientes,3,2004,0.0714,7.14,0
1,Aguascalientes,4,2004,0.098,9.8,0
1,Aguascalientes,1,2005,0.0667,6.67,0
1,Aguascalientes,2,2005,0.14,14,0
1,Aguascalientes,3,2005,0.04,4,0
1,Aguascalientes,4,2005,0.0682,6.82,0
1,Aguascalientes,1,2006,0.0896,8.96,0
1,Aguascalientes,2,2006,0.0816,8.16,0
1,Aguascalientes,3,2006,0.0444,4.44,0
1,Aguascalientes,4,2006,0.0857,8.57,0
1,Aguascalientes,1,2007,0.0192,1.92,0
1,Aguascalientes,2,2007,0.0893,8.93,0
1,Aguascalientes,3,2007,0.1053,10.53,0
1,Aguascalientes,4,2007,0.0847,8.47,0
1,Aguascalientes,1,2008,0.0469,4.69,0
1,Aguascalientes,2,2008,0.0156,1.56,0
1,Aguascalientes,3,2008,0.069,6.9,0
1,Aguascalientes,4,2008,0.0145,1.45,0
1,Aguascalientes,1,2009,0.0328,3.28,0
1,Aguascalientes,2,2009,0.0893,8.93,0
1,Aguascalientes,3,2009,0.0426,4.26,0
1,Aguascalientes,4,2009,0.0375,3.75,0
1,Aguascalientes,1,2010,0.0962,9.62,0
1,Aguascalientes,2,2010,0.0755,7.55,0
1,Aguascalientes,3,2010,0.1186,11.86,0
1,Aguascalientes,4,2010,0.0513,5.13,0
1,Aguascalientes,1,2011,0.1014,10.14,0
1,Aguascalientes,2,2011,0.1687,16.87,0
1,Aguascalientes,3,2011,0.14,14,0
1,Aguascalientes,4,2011,0.1364,13.64,0
1,Aguascalientes,1,2012,0.0952,9.52,0
1,Aguascalientes,2,2012,0.1774,17.74,0
1,Aguascalientes,3,2012,0.1096,10.96,0
1,Aguascalientes,4,2012,0.1757,17.57,0
1,Aguascalientes,1,2013,0.0893,8.93,0
1,Aguascalientes,2,2013,0.137,13.7,0
1,Aguascalientes,3,2013,0.1186,11.86,0
1,Aguascalientes,4,2013,0.1389,13.89,0
1,Aguascalientes,1,2014,0.1159,11.59,0
1,Aguascalientes,2,2014,0.2031,20.31,0
1,Aguascalientes,3,2014,0.1639,16.39,0
1,Aguascalientes,4,2014,0.1644,16.44,0
1,Aguascalientes,1,2015,0.1029,10.29,0
1,Aguascalientes,2,2015,0.08,8,0
1,Aguascalientes,3,2015,0.1549,15.49,0
1,Aguascalientes,4,2015,0.1605,16.05,0
1,Aguascalientes,1,2016,0.1286,12.86,0
1,Aguascalientes,2,2016,0.1803,18.03,0
1,Aguascalientes,3,2016,0.15,15,0
1,Aguascalientes,4,2016,0.0986,9.86,0
1,Aguascalientes,1,2017,0.1772,17.72,0
1,Aguascalientes,2,2017,0.1692,16.92,0
